1	2	450	1				
1	3	400	2				
1	4	350	3				
1	5	1450	4				
4	1	350	5				
4	6	200	6				
4	3	350	7				
4	7	250	8				
8	9	800	9				
8	10	1850	10				
8	11	250	11				
8	12	200	12				
8	13	200	13				
8	14	1200	14				
8	15	200	15				
16	17	200	16				
16	14	200	17				
16	5	200	18				
18	19	300	19				
18	20	450	20				
18	10	750	21				
12	21	200	22				
12	22	400	23				
12	23	450	24				
12	24	400	25				
12	8	200	26				
12	13	200	27				
12	9	500	28				
12	25	400	29				
26	17	200	30				
26	14	200	31				
26	5	200	32				
27	28	100	33				
29	14	200	34				
29	5	250	35				
30	14	100	36				
31	32	300	37				
31	33	250	38				
31	34	250	39				
31	35	200	40				
35	36	200	41				
35	37	200	42				
35	31	200	43				
38	22	200	44				
38	23	550	45				
38	39	100	46				
40	41	200	47				
40	42	700	48				
40	43	900	49				
44	14	200	50				
44	5	350	51				
41	43	600	52				
41	40	200	53				
32	6	200	54				
32	3	250	55				
32	31	300	56				
32	45	300	57				
33	2	250	58				
33	46	200	59				
33	31	250	60				
33	47	200	61				
3	1	400	62				
3	32	250	63				
3	4	350	64				
3	48	400	65				
3	47	300	66				
17	16	200	67				
17	14	200	68				
17	26	200	69				
17	5	250	70				
13	8	200	71				
13	12	200	72				
13	14	1300	73				
43	41	600	74				
43	5	200	75				
43	49	250	76				
43	40	900	77				
49	14	200	78				
49	50	700	79				
49	43	250	80				
50	51	1700	81				
50	52	400	82				
50	53	200	83				
50	49	700	84				
50	47	1600	85				
50	54	350	86				
25	19	200	87				
25	55	500	88				
25	12	400	89				
15	56	400	90				
15	57	100	91				
15	21	200	92				
15	8	200	93				
15	58	500	94				
15	59	100	95				
15	60	200	96				
19	42	2250	97				
19	18	300	98				
19	25	200	99				
61	62	100	100				
63	64	250	101				
63	65	200	102				
66	64	1000	103				
66	51	400	104				
66	67	200	105				
21	56	300	106				
21	22	200	107				
21	11	250	108				
21	23	250	109				
21	24	200	110				
21	12	200	111				
21	15	200	112				
65	63	200	113				
65	34	250	114				
65	45	200	115				
28	68	200	116				
28	58	200	117				
28	14	1300	118				
28	27	100	119				
68	14	1000	120				
68	60	700	121				
68	28	200	122				
69	9	200	123				
69	55	200	124				
42	19	2250	125				
42	6	200	126				
42	7	550	127				
42	70	200	128				
42	40	700	129				
42	47	450	130				
55	69	200	131				
55	9	400	132				
55	25	500	133				
20	10	300	134				
20	18	450	135				
20	71	400	136				
72	9	500	137				
72	73	800	138				
10	20	300	139				
10	73	250	140				
10	8	1850	141				
10	18	750	142				
10	53	350	143				
10	71	200	144				
73	72	800	145				
73	10	250	146				
53	51	1400	147				
53	10	350	148				
53	74	1600	149				
53	75	100	150				
53	50	200	151				
53	54	250	152				
70	42	200	153				
70	45	600	154				
54	50	350	155				
54	53	250	156				
9	72	500	157				
9	69	200	158				
9	55	400	159				
9	11	550	160				
9	8	800	161				
9	12	500	162				
11	21	250	163				
11	9	550	164				
11	8	250	165				
22	21	200	166				
22	38	200	167				
22	12	400	168				
23	21	250	169				
23	38	550	170				
23	12	450	171				
6	64	450	172				
6	37	550	173				
6	42	200	174				
6	32	200	175				
6	4	200	176				
6	34	250	177				
6	48	350	178				
24	21	200	179				
24	12	400	180				
7	36	200	181				
7	42	550	182				
7	37	200	183				
7	46	400	184				
7	4	250	185				
7	48	400	186				
59	15	100	187				
36	7	200	188				
36	35	200	189				
51	66	400	190				
51	74	200	191				
51	76	200	192				
51	77	300	193				
51	78	200	194				
51	50	1700	195				
51	53	1400	196				
37	6	550	197				
37	7	200	198				
37	35	200	199				
74	51	200	200				
74	67	300	201				
74	53	1600	202				
46	33	200	203				
46	7	400	204				
58	60	200	205				
58	15	500	206				
58	28	200	207				
60	68	700	208				
60	58	200	209				
60	15	200	210				
71	20	400	211				
71	10	200	212				
45	65	200	213				
45	32	300	214				
45	70	600	215				
45	48	250	216				
62	61	100	217				
62	64	500	218				
62	79	300	219				
62	67	200	220				
62	52	1600	221				
75	53	100	222				
67	66	200	223				
67	74	300	224				
67	77	200	225				
67	78	300	226				
67	62	200	227				
67	47	900	228				
67	48	600	229				
52	62	1600	230				
52	50	400	231				
47	2	250	232				
47	64	200	233				
47	42	450	234				
47	79	500	235				
47	33	200	236				
47	3	300	237				
47	50	1600	238				
47	67	900	239				
56	21	300	240				
56	15	400	241				
64	2	450	242				
64	66	1000	243				
64	63	250	244				
64	6	450	245				
64	62	500	246				
64	48	300	247				
64	47	200	248				
79	62	300	249				
79	47	500	250				
77	51	300	251				
77	67	200	252				
78	51	200	253				
78	76	300	254				
78	67	300	255				
34	65	250	256				
34	6	250	257				
34	31	250	258				
48	2	250	259				
48	64	300	260				
48	6	350	261				
48	7	400	262				
48	3	400	263				
48	67	600	264				
48	45	250	265				
2	64	450	266				
2	1	450	267				
2	33	250	268				
2	48	250	269				
2	47	250	270				
57	15	100	271				
76	51	200	272				
76	78	300	273				
39	38	100	274				
14	8	1200	275				
14	16	200	276				
14	17	200	277				
14	13	1300	278				
14	26	200	279				
14	29	200	280				
14	49	200	281				
14	30	100	282				
14	28	1300	283				
14	68	1000	284				
14	5	250	285				
14	44	200	286				
5	1	1450	287				
5	16	200	288				
5	17	250	289				
5	26	200	290				
5	43	200	291				
5	29	250	292				
5	14	250	293				
5	44	350	294				
