87 322
1	2	500	1
1	3	200	2
1	4	750	3
1	5	700	4
1	6	1200	5
1	7	600	6
1	8	300	7
1	9	750	8
1	10	200	9
1	11	500	10
12	13	200	11
12	14	200	12
12	15	200	13
12	16	200	14
12	17	300	15
3	1	200	16
3	18	500	17
3	19	750	18
3	20	750	19
21	22	650	20
21	23	200	21
21	24	200	22
22	21	650	23
22	25	1600	24
22	26	1100	25
22	27	750	26
22	28	950	27
22	29	700	28
22	30	1450	29
31	32	300	30
31	33	400	31
31	9	200	32
31	34	300	33
33	32	200	34
33	31	400	35
33	4	200	36
33	34	200	37
10	1	200	38
10	5	500	39
10	35	500	40
10	20	450	41
28	36	600	42
28	37	450	43
28	38	500	44
28	39	100	45
28	22	950	46
28	23	400	47
28	40	750	48
28	24	200	49
41	42	350	50
41	37	1000	51
41	38	650	52
41	43	250	53
41	29	200	54
41	44	450	55
41	45	500	56
41	46	550	57
41	47	250	58
11	13	1000	59
11	2	200	60
11	1	500	61
11	35	200	62
24	36	800	63
24	21	200	64
24	23	200	65
24	40	950	66
24	28	200	67
34	31	300	68
34	33	200	69
34	48	200	70
2	1	500	71
2	5	200	72
2	7	200	73
2	11	200	74
2	20	750	75
32	31	300	76
32	33	200	77
32	48	200	78
13	12	200	79
13	49	100	80
13	15	200	81
13	16	400	82
13	50	100	83
13	40	450	84
13	11	1000	85
51	52	100	86
53	36	250	87
53	54	200	88
53	25	200	89
53	55	700	90
54	25	300	91
54	56	900	92
54	57	200	93
54	53	200	94
25	54	300	95
25	22	1600	96
25	53	200	97
49	13	100	98
58	59	200	99
58	46	250	100
58	9	200	101
58	44	250	102
18	3	500	103
18	9	450	104
15	13	200	105
15	12	200	106
50	13	100	107
35	6	600	108
35	5	200	109
35	7	200	110
35	10	500	111
35	11	200	112
8	6	1100	113
8	1	300	114
8	7	400	115
8	19	750	116
8	20	750	117
40	36	250	118
40	13	450	119
40	4	200	120
40	28	750	121
40	24	950	122
60	61	200	123
60	56	250	124
60	16	500	125
61	14	200	126
61	62	600	127
61	60	200	128
36	43	200	129
36	40	250	130
36	28	600	131
36	24	800	132
36	53	250	133
63	16	200	134
63	17	200	135
14	61	200	136
14	12	200	137
14	56	250	138
64	65	200	139
64	66	200	140
56	54	900	141
56	14	250	142
56	60	250	143
65	64	200	144
65	66	400	145
67	59	250	146
67	45	250	147
67	9	250	148
67	44	200	149
57	54	200	150
57	68	100	151
57	69	100	152
57	70	200	153
71	46	200	154
71	9	850	155
72	46	200	156
72	9	550	157
70	73	400	158
70	57	200	159
70	74	500	160
75	9	100	161
44	76	250	162
44	67	200	163
44	58	250	164
44	41	450	165
44	77	200	166
44	78	300	167
5	2	200	168
5	1	700	169
5	35	200	170
5	10	500	171
39	28	100	172
45	76	200	173
45	67	250	174
45	41	500	175
7	2	200	176
7	1	600	177
7	35	200	178
7	8	400	179
7	79	500	180
46	58	250	181
46	71	200	182
46	72	200	183
46	41	550	184
46	77	200	185
46	78	200	186
68	57	100	187
69	57	100	188
73	26	300	189
73	80	200	190
73	70	400	191
73	30	650	192
4	1	750	193
4	33	200	194
4	43	250	195
4	81	200	196
4	40	200	197
4	19	300	198
4	20	200	199
66	64	200	200
66	65	400	201
66	81	200	202
66	82	200	203
74	83	200	204
74	70	500	205
80	26	200	206
80	83	200	207
80	73	200	208
80	29	200	209
80	30	550	210
30	22	1450	211
30	55	950	212
30	27	800	213
30	83	450	214
30	73	650	215
30	80	550	216
29	22	700	217
29	41	200	218
29	80	200	219
26	22	1100	220
26	83	200	221
26	73	300	222
26	80	200	223
77	46	200	224
77	44	200	225
78	46	200	226
78	84	100	227
78	44	300	228
76	45	200	229
76	44	250	230
37	42	650	231
37	43	850	232
37	28	450	233
37	41	1000	234
81	4	200	235
81	66	200	236
23	21	200	237
23	85	100	238
23	28	400	239
23	24	200	240
62	61	600	241
62	16	200	242
85	86	100	243
85	23	100	244
16	13	400	245
16	12	200	246
16	63	200	247
16	62	200	248
16	60	500	249
17	12	300	250
17	63	200	251
55	27	250	252
55	53	700	253
55	30	950	254
83	26	200	255
83	74	200	256
83	80	200	257
83	30	450	258
59	52	100	259
59	67	250	260
59	58	200	261
86	85	100	262
52	59	100	263
52	51	100	264
27	22	750	265
27	55	250	266
27	30	800	267
42	37	650	268
42	38	600	269
42	43	200	270
42	41	350	271
38	42	600	272
38	43	700	273
38	28	500	274
38	41	650	275
43	36	200	276
43	42	200	277
43	37	850	278
43	4	250	279
43	38	700	280
43	41	250	281
79	6	200	282
79	7	500	283
6	1	1200	284
6	35	600	285
6	8	1100	286
6	19	750	287
6	79	200	288
6	47	200	289
84	78	100	290
87	47	100	291
9	1	750	292
9	67	250	293
9	71	850	294
9	72	550	295
9	75	100	296
9	31	200	297
9	58	200	298
9	18	450	299
9	19	200	300
9	47	250	301
9	20	300	302
82	66	200	303
82	48	200	304
19	6	750	305
19	3	750	306
19	8	750	307
19	9	200	308
19	4	300	309
48	32	200	310
48	82	200	311
48	34	200	312
47	6	200	313
47	87	100	314
47	9	250	315
47	41	250	316
20	2	750	317
20	3	750	318
20	8	750	319
20	9	300	320
20	4	200	321
20	10	450	322
